ticker,name,sector,industry,price,market_cap,eps0,eps1,eps2,eg1,eg2,pe1,pe2,peg1,peg2,pe_implausible,sector_pe1,sector_eg1,sector_pe1_mean
UTL,Unitil Corporation,Utilities,Electric Utilities,54.060001373291016,985874621.4842606,2.3400000000000003,1.5001643835616445,0.9617492212422601,-0.3589041095890409,-0.35890410958904084,36.03605175917016,56.2100807354577,,,False,22.02248481825099,-0.002881844380403428,27.042817602825924
UVV,Universal Corporation,Consumer Staples,Tobacco,44.31999969482422,1103535062.6413498,2.8200000000000003,1.4380470162748646,0.7333259648996598,-0.4900542495479204,-0.4900542495479204,30.81957626784089,60.436970482680884,,,False,21.581219732454,0.027309224733112505,30.262301818219143
V,Visa Inc.,Financials,Transaction & Payment Processing Services,358.8399963378906,168396735624.72223,,,,,,,,,,False,12.175904990939271,0.2321522761151244,16.818363553496667
VAC,Marriott Vacations Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",119.47000122070312,4109208922.3864746,4.46,3.4414532871972314,2.655515858287137,-0.2283737024221454,-0.22837370242214527,34.71498557459753,44.98937592402997,,,False,17.12461478795241,0.09201273225257235,23.63279043999208
VAL,Valaris,Energy,Oil & Gas Drilling,87.08000183105469,6046470200.70076,4.74,7.11,10.665000000000001,0.5,0.5000000000000001,12.247538935450729,8.165025956967153,0.24495077870901458,0.16330051913934301,False,18.15927134438993,0.0,31.84763181292061
VC,Visteon,Consumer Discretionary,Automotive Parts & Equipment,107.8000030517578,2877767327.6679835,5.21,2.605,1.3025,-0.5,-0.5,41.38195894501259,82.76391789002518,,,False,17.12461478795241,0.09201273225257235,23.63279043999208
VCEL,Vericel,Health Care,Biotechnology,43.59000015258789,2232096312.073509,0.01,0.01,,0.0,,4359.000015258789,,,,True,26.111110051472984,0.13106796116504843,35.670037593695405
VCTR,"Victory Capital Holdings, Inc.",Financials,Asset Management & Custody Banks,118.80999755859376,7307952099.150147,4.8,5.538461538461537,6.390532544378696,0.1538461538461537,0.1538461538461537,21.4518051147461,18.591564432779958,1.394367332458498,1.2084516881306984,False,12.175904990939271,0.2321522761151244,16.818363553496667
VCYT,"Veracyte, Inc.",Health Care,Health Care Services,42.08000183105469,3382842107.679825,0.89,1.335,2.0025,0.49999999999999994,0.5,31.520600622512877,21.013733748341917,0.6304120124502576,0.42027467496683835,False,26.111110051472984,0.13106796116504843,35.670037593695405
VECO,Veeco Instruments Inc.,Information Technology,Semiconductor Materials & Equipment,54.400001525878906,3325452509.276428,0.54,0.27,0.135,-0.5,-0.5,201.48148713288484,402.9629742657697,,,True,32.824054964173854,0.16017875776961116,46.8792043447928
VEEV,Veeva Systems,Health Care,Health Care Technology,238.33999633789065,38716733382.05491,5.53,7.683643216080402,10.67601683038307,0.3894472361809044,0.3894472361809044,31.019138920855987,22.32480522694518,0.7964914380968185,0.5732433858273668,False,26.111110051472984,0.13106796116504843,35.670037593695405
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",14.479999542236328,5672825149.062061,1.37,1.37,,0.0,,10.569342731559363,,,,False,17.12461478795241,0.09201273225257235,23.63279043999208
VGNT,Versigent PLC,Consumer Discretionary,Other Specialty Retail,46.77999877929688,3313673610.231171,,,,,,,,,,False,17.12461478795241,0.09201273225257235,23.63279043999208
VIAV,Viavi Solutions,Information Technology,Communications Equipment,46.2599983215332,11414646629.118608,-0.19,-0.19,,0.0,,,,,,False,32.824054964173854,0.16017875776961116,46.8792043447928
